name,price,volume
Black platebody (h5),2622,35
Black platelegs (g),52516,95
Black platelegs (t),23636,57
Black plateskirt (t),6977,16
Black robe,431,2203
Black salamander,272,3702
Black set (sk),8290,29
Black shield (h1),1815,27
Black shield (h3),4270,98
Black shield (h5),1520,16
Black skirt,10,526
Black skirt (g),19563,152
Black skirt (t),15528,75
Black spear(p+),12123,0
Black spear(p++),10763,1
Black spiky vambraces,3568,276
Black sword,215,447
Black tourmaline core,2767407,61
Black trimmed set (lg),126057,44
Black unicorn mask,22596,79
Black warhammer,377,568
Black wizard robe (g),274800,177
Black wizard robe (t),112606,121
Blamish bark shell,1084,79
Blessed spirit shield,725482,793
Blighted anglerfish,1341,176056
Blighted bind sack,6,43318
Blighted karambwan,657,38152
Blighted manta ray,881,446404
Blighted snare sack,14,57908
Blighted vengeance sack,93,443050
Blood essence,90200,41167
Blood pint,56,15862
Blood talisman,20060,11
Blood tiara,29766,5
Bloodbark boots,49550,255
Bloodbark gauntlets,48350,111
Bloodbark helm,96190,175
Bloody bracer,605,2
Blue boater,7022,115
Blue boots,996,400
Blue d'hide body (g),5607,83
Blue d'hide chaps (g),2914,159
Blue d'hide chaps (t),2397,101
Blue d'hide shield,4443,289
Blue dragon leather,1897,2742513
Blue dragon scale,820,11953
Blue dragonhide,1754,3036435
Blue dye,316,6423
Blue elegant legs,6834,26
Blue elegant shirt,16184,62
Blue feather,124,24787
Blue firelighter,83,17619
Blue halloween mask,8702,1015
Blue partyhat,12332,2210
Blue robe bottoms,457,20
Blue robe top,844,147
Blue skirt (g),31982,193
Blue spiky vambraces,2133,20
Blue wizard hat (g),214828,206
Blue wizard hat (t),69439,122
Blue wizard robe (g),191486,189
Blurberry special,4132,473
Bob's black shirt,42337,44
Bob's blue shirt,25430,92
Bob's purple shirt,24843,36
Body rune,5,8360638
Body talisman,1581,12277
Bolt of cloth,846,59898
Bolt rack,72,1246282
Bone dagger,3435,529
Bone dagger (p),3843,0
Bone dagger (p++),6641,157
Bone spear,746,810
Bones to bananas,714,48712
Bones to peaches,679,272423
Book of law page set,60086,232
Boots of darkness,23540,74
Boots of stone,352,517
Botanical pie,1802,5398
Bottled dragonbreath (unpowered),9591,19
Bottomless compost bucket,365406,711
Bowl,26,65433
Bowl of hot water,152,45152
Bowl of water,60,88332
Box trap,47,375883
Bracelet of ethereum (uncharged),43497,227475
Bracelet of slaughter,3051,26952
Brass key,425,2322
Brass necklace,207,1317
Bread dough,195,2605
Brimstone ring,4167235,6335
Brine sabre,147536,908
Broad arrowheads,54,729232
Broken dragon hasta,36767,170
Bronze 2h sword,360,3176
Bronze arrow,3,2047664
Bronze arrow(p),60,1561
Bronze arrowtips,5,648901
Bronze axe,95,47740
Bronze bar,168,419891
Bronze bolts (p),41,48
Bronze bolts (p+),234,0
Bronze bolts (p++),585,0
Bronze brutal,140,543
Bronze chainbody,100,1833
Bronze claws,181,40
Bronze dagger,110,12716
Bronze dagger(p),246,1
Bronze dagger(p+),2771,1
Bronze dart tip,35,336684
Bronze dart(p),23,0
Bronze dragon mask,7573,17
Bronze full helm,84,16280
Bronze full helm (t),9928,41
Bronze gold-trimmed set (sk),248249,32
Bronze hasta,57,18
Bronze hasta(p),4236,1
Bronze hasta(p++),5604,0
Bronze javelin heads,43,3105
Bronze javelin(p),10,0
Bronze kiteshield,116,3528
Bronze kiteshield (g),31254,73
Bronze knife(p),49,0
Bronze knife(p+),44,0
Bronze knife(p++),148,0
Bronze limbs,104,348
Bronze med helm,102,3063
Bronze nails,4,512888
Bronze platebody (g),82935,88
Bronze platebody (t),6996,51
Bronze platelegs,321,2641
Bronze plateskirt,105,765
Bronze plateskirt (g),5898,33
Bronze plateskirt (t),2601,27
Bronze set (sk),1207,17
Bronze spear,392,1409
Bronze spear(p),1551,0
Bronze sq shield,102,2069
Bronze sword,122,2943
Bronze thrownaxe,20,0
Bronze warhammer,105,4072
Bronze wire,271,4421
Brown toy horsey,228,56
Bryophyta's essence,7722883,25
Bucket,9,10912708
Bucket helm (g),1132441,13
Bucket of milk,60,266214
Bucket of water,29,526513
Bucket of wax,927,1722
Bullseye lantern (unf),302,650
Burning amulet(5),3453,91875
Burnt page,1978,591481
Butterfly net,11,18296
Cabbage round shield,2512,112
Cabbage seed,1,919143
Cactus seed,64,20321
Cactus spine,562,701037
Cadantine blood potion (unf),9647,32419
Cadantine seed,338,23844
Cadava berries,150,31494
Cadavaberry seed,1,157684
Calcite,57,42074
Calquat keg,190,1311
Calquat sapling,647,17783
Camelot teleport,294,209111
Cannon barrels,183021,673
Cannon base,185359,731
Cannon furnace,191422,701
Cannon stand,182138,701
Carrallangar teleport,864,2464
Cat mask,8217,85
Catalytic talisman,3576,516
Catalytic tiara,4852,115
Cavalier mask,142292,231
